Hotel id,Primary Location Segment,Trend Segment
236590104,Small Metro/Town,Standard
48949504,Resort,Wellness/Eco
415652904,Small Metro/Town,Standard
175078203,Small Metro/Town,Wellness/Eco
65213405,Resort,Wellness/Eco
49916204,Urban,Wellness/Eco
155155404,Small Metro/Town,Wellness/Eco
4033705,Urban,Extended Stay
178637503,Small Metro/Town,Wellness/Eco
171629603,Suburban,Wellness/Eco
46560404,Small Metro/Town,Wellness/Eco
311285503,Small Metro/Town,Standard
255086403,Small Metro/Town,Wellness/Eco
48915806,Resort,Wellness/Eco
173031603,Resort,Wellness/Eco
190176403,Resort,Wellness/Eco
212606704,Airport,Standard
29922403,Urban,Lifestyle/Boutique
309688803,Resort,Wellness/Eco
49999804,Resort,Wellness/Eco
33294603,Resort,Wellness/Eco
99738505,Resort,Wellness/Eco
76642103,Resort,Wellness/Eco
57485005,Resort,Wellness/Eco
107126506,Urban,Standard
208701904,Resort,Wellness/Eco
111397503,Resort,Wellness/Eco
181256504,Resort,Lifestyle/Boutique
106115805,Resort,Wellness/Eco
103789706,Small Metro/Town,Standard
58025504,Urban,Lifestyle/Boutique
34301804,Small Metro/Town,Wellness/Eco
49069204,Resort,Extended Stay
70152205,Resort,Standard
50632403,Resort,Wellness/Eco
35258604,Resort,Standard
73485503,Resort,Wellness/Eco
172022703,Urban,Wellness/Eco
346012803,Small Metro/Town,Lifestyle/Boutique
314687303,Resort,Wellness/Eco
52217904,Resort,Wellness/Eco
53159103,Resort,Wellness/Eco
56807605,Resort,Standard
38689403,Resort,Wellness/Eco
216109904,Resort,Wellness/Eco
35442906,Resort,Wellness/Eco
65288103,Resort,Wellness/Eco
60774205,Urban,Extended Stay
213024904,Resort,Wellness/Eco
71763806,Resort,Wellness/Eco
100747305,Resort,Wellness/Eco
93634304,Resort,Wellness/Eco
19139504,Small Metro/Town,Standard
105479705,Small Metro/Town,Wellness/Eco
63020005,Resort,Wellness/Eco
303056603,Small Metro/Town,Wellness/Eco
258165404,Small Metro/Town,Lifestyle/Boutique
387895204,Airport,Wellness/Eco
19413404,Urban,Lifestyle/Boutique
32810506,Resort,Extended Stay
54278204,Small Metro/Town,Wellness/Eco
28847304,Small Metro/Town,Wellness/Eco
264685103,Urban,Standard
46309505,Urban,Extended Stay
354322504,Urban,Standard
379687104,Resort,Extended Stay
47193005,Resort,Wellness/Eco
56049605,Urban,Lifestyle/Boutique
32587406,Urban,Extended Stay
92342004,Interstate,Wellness/Eco
173967703,Small Metro/Town,Lifestyle/Boutique
600214008,Resort,Wellness/Eco
41397005,Urban,Extended Stay
82680104,Small Metro/Town,Wellness/Eco
103384404,Small Metro/Town,Wellness/Eco
1777405,Urban,Lifestyle/Boutique
198459104,Small Metro/Town,Wellness/Eco
54576705,Small Metro/Town,Wellness/Eco
5890903,Resort,Extended Stay
40202406,Resort,Standard
12485603,Resort,Standard
221103604,Resort,Lifestyle/Boutique
310324903,Small Metro/Town,Standard
46160804,Resort,Wellness/Eco
104358406,Resort,Wellness/Eco
15400703,Resort,Wellness/Eco
96108603,Resort,Wellness/Eco
38919306,Resort,Wellness/Eco
116322804,Resort,Wellness/Eco
47956403,Resort,Wellness/Eco
69906704,Resort,Wellness/Eco
100570304,Urban,Standard
51986504,Resort,Standard
302547403,Resort,Wellness/Eco
45902704,Resort,Standard
59171205,Resort,Wellness/Eco
49361804,Resort,Wellness/Eco
42604506,Resort,Wellness/Eco
37049704,Resort,Lifestyle/Boutique
14035003,Urban,Lifestyle/Boutique
262336803,Resort,Wellness/Eco
98153306,Resort,Standard
72727106,Resort,Wellness/Eco
173075403,Urban,Lifestyle/Boutique
54293605,Resort,Wellness/Eco
46605204,Small Metro/Town,Wellness/Eco
127508203,Small Metro/Town,Extended Stay
46750303,Small Metro/Town,Wellness/Eco
65242306,Small Metro/Town,Standard
15526104,Urban,Extended Stay
240744004,Resort,Standard
500139795,Resort,Wellness/Eco
267928804,Urban,Standard
355134304,Resort,Wellness/Eco
46127103,Small Metro/Town,Lifestyle/Boutique
64110206,Resort,Wellness/Eco
95689605,Small Metro/Town,Wellness/Eco
43385603,Small Metro/Town,Wellness/Eco
251636403,Resort,Wellness/Eco
288174504,Small Metro/Town,Standard
44044506,Resort,Standard
299167203,Resort,Standard
249220903,Small Metro/Town,Standard
185430304,Resort,Standard
7001305,Resort,Standard
79376803,Resort,Lifestyle/Boutique
82293103,Small Metro/Town,Standard
89592803,Urban,Standard
124071105,Resort,Wellness/Eco
55278604,Small Metro/Town,Wellness/Eco
47259104,Small Metro/Town,Wellness/Eco
295197504,Urban,Lifestyle/Boutique
46800404,Small Metro/Town,Standard
18618804,Urban,Lifestyle/Boutique
56674704,Small Metro/Town,Wellness/Eco
81206804,Small Metro/Town,Wellness/Eco
11592205,Urban,Extended Stay
97040904,Resort,Wellness/Eco
24867506,Small Metro/Town,Wellness/Eco
10180103,Resort,Standard
97290205,Resort,Standard
355631403,Resort,Wellness/Eco
46901704,Resort,Wellness/Eco
41543803,Resort,Wellness/Eco
221284304,Resort,Wellness/Eco
178910603,Resort,Wellness/Eco
72743105,Resort,Standard
16309905,Small Metro/Town,Wellness/Eco
52676206,Resort,Standard
78298903,Urban,Standard
46755105,Small Metro/Town,Wellness/Eco
173714703,Small Metro/Town,Wellness/Eco
68556404,Small Metro/Town,Wellness/Eco
47373303,Small Metro/Town,Wellness/Eco
30489006,Small Metro/Town,Wellness/Eco
22958005,Small Metro/Town,Wellness/Eco
185924504,Small Metro/Town,Wellness/Eco
39496703,Small Metro/Town,Wellness/Eco
53706603,Small Metro/Town,Wellness/Eco
62149203,Resort,Wellness/Eco
11479303,Resort,Standard
30245005,Resort,Wellness/Eco
142640305,Resort,Wellness/Eco
258304103,Resort,Wellness/Eco
155643703,Resort,Wellness/Eco
46596404,Resort,Wellness/Eco
128460104,Small Metro/Town,Wellness/Eco
253524604,Resort,Wellness/Eco
184894504,Suburban,Standard
47040904,Small Metro/Town,Wellness/Eco
4049504,Urban,Extended Stay
34166006,Resort,Wellness/Eco
112047703,Resort,Wellness/Eco
206116404,Resort,Lifestyle/Boutique
172265603,Urban,Lifestyle/Boutique
45521804,Resort,Wellness/Eco
80025003,Resort,Wellness/Eco
274317803,Small Metro/Town,Lifestyle/Boutique
18845404,Small Metro/Town,Wellness/Eco
27320704,Small Metro/Town,Wellness/Eco
276548304,Small Metro/Town,Wellness/Eco
25321506,Urban,Extended Stay
305059703,Urban,Standard
172464203,Urban,Standard
320964403,Small Metro/Town,Wellness/Eco
110029705,Small Metro/Town,Wellness/Eco
55497806,Small Metro/Town,Wellness/Eco
47346103,Urban,Lifestyle/Boutique
174251904,Small Metro/Town,Wellness/Eco
119454204,Small Metro/Town,Standard
160394503,Resort,Standard
71840904,Resort,Standard
115638404,Resort,Standard
94889003,Resort,Wellness/Eco
248006804,Small Metro/Town,Standard
12878503,Small Metro/Town,Standard
174388603,Resort,Standard
197618104,Resort,Wellness/Eco
600493168,Urban,Standard
111672204,Small Metro/Town,Standard
600409135,Resort,Wellness/Eco
47629304,Resort,Standard
123329505,Small Metro/Town,Wellness/Eco
357841503,Resort,Wellness/Eco
243901804,Resort,Wellness/Eco
143514804,Resort,Wellness/Eco
16128103,Small Metro/Town,Wellness/Eco
259414504,Resort,Standard
78585704,Resort,Lifestyle/Boutique
313423103,Small Metro/Town,Wellness/Eco
139542503,Urban,Standard
42965904,Small Metro/Town,Wellness/Eco
172052603,Small Metro/Town,Wellness/Eco
38252504,Resort,Extended Stay
600397021,Small Metro/Town,Wellness/Eco
49688306,Small Metro/Town,Wellness/Eco
96181206,Small Metro/Town,Wellness/Eco
46704606,Small Metro/Town,Wellness/Eco
46273904,Small Metro/Town,Wellness/Eco
108763804,Small Metro/Town,Wellness/Eco
69179703,Small Metro/Town,Standard
337390503,Small Metro/Town,Standard
202018503,Small Metro/Town,Wellness/Eco
52805205,Small Metro/Town,Wellness/Eco
82377505,Urban,Standard
99478605,Urban,Lifestyle/Boutique
201057504,Small Metro/Town,Wellness/Eco
84679906,Small Metro/Town,Lifestyle/Boutique
343176904,Urban,Standard
46905606,Resort,Standard
128099604,Small Metro/Town,Standard
345156504,Small Metro/Town,Standard
338326403,Small Metro/Town,Standard
99327805,Resort,Standard
359569004,Small Metro/Town,Standard
43786804,Resort,Standard
357730304,Small Metro/Town,Lifestyle/Boutique
47066204,Resort,Wellness/Eco
53638305,Small Metro/Town,Standard
62346404,Resort,Standard
5969703,Urban,Extended Stay
372057904,Small Metro/Town,Standard
130311504,Resort,Wellness/Eco
173444803,Small Metro/Town,Standard
13377605,Resort,Standard
52498504,Small Metro/Town,Standard
41678406,Resort,Standard
38374706,Resort,Extended Stay
385860504,Small Metro/Town,Wellness/Eco
265616803,Small Metro/Town,Standard
57178504,Small Metro/Town,Standard
34906906,Urban,Standard
78300205,Small Metro/Town,Standard
31568805,Small Metro/Town,Standard
30005506,Small Metro/Town,Standard
202880804,Urban,Standard
93852006,Small Metro/Town,Standard
15402403,Small Metro/Town,Standard
87576905,Urban,Standard
104138206,Small Metro/Town,Wellness/Eco
47409705,Small Metro/Town,Lifestyle/Boutique
15433905,Small Metro/Town,Wellness/Eco
96289304,Small Metro/Town,Wellness/Eco
59852005,Small Metro/Town,Wellness/Eco
81119306,Small Metro/Town,Wellness/Eco
297627203,Airport,Standard
74851905,Small Metro/Town,Wellness/Eco
221107804,Resort,Lifestyle/Boutique
84676406,Small Metro/Town,Wellness/Eco
49899104,Resort,Wellness/Eco
80609005,Resort,Wellness/Eco
254681103,Urban,Lifestyle/Boutique
43146304,Small Metro/Town,Wellness/Eco
74712004,Small Metro/Town,Wellness/Eco
52283904,Resort,Wellness/Eco
143804704,Resort,Wellness/Eco
49001504,Urban,Standard
192279903,Resort,Wellness/Eco
340112104,Small Metro/Town,Wellness/Eco
168919603,Small Metro/Town,Wellness/Eco
251679903,Resort,Wellness/Eco
184128904,Resort,Lifestyle/Boutique
51981604,Small Metro/Town,Standard
31888004,Resort,Wellness/Eco
53194503,Small Metro/Town,Wellness/Eco
255757703,Small Metro/Town,Lifestyle/Boutique
39142806,Resort,Wellness/Eco
5969603,Urban,Extended Stay
19559805,Resort,Wellness/Eco
91803505,Resort,Standard
214580204,Small Metro/Town,Standard
121126504,Resort,Wellness/Eco
39249703,Small Metro/Town,Wellness/Eco
34534203,Resort,Standard
260566303,Resort,Wellness/Eco
15342104,Urban,Extended Stay
49907404,Small Metro/Town,Wellness/Eco
49205704,Resort,Wellness/Eco
361331203,Urban,Standard
63714205,Resort,Extended Stay
271034403,Small Metro/Town,Wellness/Eco
13839604,Urban,Extended Stay
51617406,Small Metro/Town,Wellness/Eco
11075203,Resort,Extended Stay
37691503,Resort,Wellness/Eco
103446504,Resort,Lifestyle/Boutique
49930906,Small Metro/Town,Wellness/Eco
48250606,Small Metro/Town,Wellness/Eco
46567904,Resort,Wellness/Eco
187234603,Resort,Wellness/Eco
31748406,Resort,Wellness/Eco
107738504,Small Metro/Town,Wellness/Eco
282808804,Small Metro/Town,Wellness/Eco
168145604,Resort,Wellness/Eco
79487403,Resort,Standard
68335605,Small Metro/Town,Wellness/Eco
217395604,Small Metro/Town,Standard
19454404,Resort,Standard
296806903,Suburban,Standard
62096003,Small Metro/Town,Standard
193466703,Small Metro/Town,Wellness/Eco
60899505,Small Metro/Town,Extended Stay
91184204,Small Metro/Town,Standard
21553504,Urban,Lifestyle/Boutique
124486705,Small Metro/Town,Wellness/Eco
329158503,Urban,Standard
80784104,Small Metro/Town,Wellness/Eco
263266804,Small Metro/Town,Wellness/Eco
60778805,Urban,Extended Stay
60901705,Resort,Standard
260024603,Resort,Standard
47441204,Resort,Standard
20635904,Resort,Standard
64334304,Resort,Standard
267690003,Resort,Standard
49560504,Resort,Standard
97395904,Resort,Standard
35075004,Resort,Standard
27578804,Resort,Standard
340569704,Urban,Lifestyle/Boutique
35969603,Resort,Standard
62843504,Resort,Wellness/Eco
311211303,Resort,Standard
312529203,Small Metro/Town,Standard
94176706,Resort,Lifestyle/Boutique
343071604,Small Metro/Town,Standard
83978604,Resort,Wellness/Eco
141668504,Resort,Lifestyle/Boutique
185027403,Resort,Wellness/Eco
88905005,Suburban,Standard
84149803,Small Metro/Town,Standard
370403803,Small Metro/Town,Standard
126713203,Small Metro/Town,Standard
34571906,Urban,Lifestyle/Boutique
217143104,Small Metro/Town,Standard
59190705,Resort,Standard
106043904,Suburban,Standard
33604606,Small Metro/Town,Standard
68872204,Resort,Wellness/Eco
163196803,Small Metro/Town,Wellness/Eco
48881904,Resort,Standard
122668103,Resort,Standard
32810406,Resort,Extended Stay
93189504,Resort,Wellness/Eco
33792806,Resort,Wellness/Eco
309932603,Resort,Wellness/Eco
46899805,Resort,Lifestyle/Boutique
177634704,Resort,Wellness/Eco
11519503,Small Metro/Town,Wellness/Eco
33803803,Resort,Wellness/Eco
49589204,Small Metro/Town,Wellness/Eco
27874904,Resort,Wellness/Eco
215462004,Resort,Standard
59518504,Resort,Wellness/Eco
103202304,Resort,Wellness/Eco
600450133,Small Metro/Town,Standard
72732705,Resort,Wellness/Eco
307974203,Suburban,Standard
66176705,Resort,Wellness/Eco
8810905,Resort,Lifestyle/Boutique
43806104,Resort,Lifestyle/Boutique
9610304,Urban,Extended Stay
154674804,Small Metro/Town,Standard
218533504,Resort,Wellness/Eco
51839104,Small Metro/Town,Standard
48491706,Small Metro/Town,Wellness/Eco
109404205,Urban,Standard
315287104,Small Metro/Town,Wellness/Eco
107130404,Small Metro/Town,Standard
200789303,Resort,Wellness/Eco
57385705,Small Metro/Town,Wellness/Eco
31897206,Small Metro/Town,Wellness/Eco
20339604,Resort,Wellness/Eco
53932705,Resort,Wellness/Eco
55504904,Small Metro/Town,Wellness/Eco
73088304,Small Metro/Town,Standard
80801703,Suburban,Wellness/Eco
7339105,Resort,Standard
64487106,Small Metro/Town,Wellness/Eco
112664003,Interstate,Standard
359898804,Resort,Wellness/Eco
52132604,Resort,Wellness/Eco
56988705,Small Metro/Town,Wellness/Eco
46132204,Resort,Wellness/Eco
218312304,Small Metro/Town,Wellness/Eco
82062503,Small Metro/Town,Wellness/Eco
50199104,Small Metro/Town,Wellness/Eco
343177104,Urban,Standard
258357204,Urban,Lifestyle/Boutique
92195605,Small Metro/Town,Wellness/Eco
42071505,Resort,Wellness/Eco
57973405,Small Metro/Town,Wellness/Eco
95082904,Small Metro/Town,Wellness/Eco
304506003,Urban,Lifestyle/Boutique
86370903,Resort,Wellness/Eco
53564303,Resort,Wellness/Eco
198139104,Small Metro/Town,Wellness/Eco
264723004,Resort,Wellness/Eco
37766504,Resort,Extended Stay
239038503,Small Metro/Town,Standard
345441504,Small Metro/Town,Standard
51889904,Small Metro/Town,Standard
62604403,Small Metro/Town,Standard
85964503,Small Metro/Town,Standard
303697103,Small Metro/Town,Standard
1381704,Resort,Standard
116549605,Urban,Standard
257346503,Small Metro/Town,Standard
48764104,Resort,Wellness/Eco
50281104,Resort,Standard
59560106,Resort,Wellness/Eco
11788605,Urban,Extended Stay
307709803,Small Metro/Town,Wellness/Eco
255672403,Suburban,Wellness/Eco
270465403,Small Metro/Town,Wellness/Eco
6012903,Resort,Standard
263679504,Small Metro/Town,Wellness/Eco
48299304,Small Metro/Town,Wellness/Eco
46602204,Small Metro/Town,Wellness/Eco
7095103,Urban,Lifestyle/Boutique
17353905,Small Metro/Town,Standard
42384506,Small Metro/Town,Wellness/Eco
77583203,Resort,Wellness/Eco
54267706,Resort,Standard
20375703,Small Metro/Town,Wellness/Eco
15421403,Small Metro/Town,Standard
368908404,Urban,Standard
101182904,Resort,Lifestyle/Boutique
88466703,Resort,Standard
54091105,Small Metro/Town,Wellness/Eco
60898705,Resort,Wellness/Eco
310598003,Airport,Standard
23818803,Small Metro/Town,Wellness/Eco
93645204,Small Metro/Town,Wellness/Eco
52222904,Small Metro/Town,Wellness/Eco
395629304,Small Metro/Town,Standard
164206604,Resort,Wellness/Eco
92143503,Resort,Wellness/Eco
124553705,Airport,Wellness/Eco
123968305,Resort,Wellness/Eco
46574504,Small Metro/Town,Wellness/Eco
51825404,Airport,Extended Stay
49651303,Urban,Lifestyle/Boutique
261996903,Urban,Lifestyle/Boutique
34319506,Resort,Extended Stay
209683904,Resort,Wellness/Eco
600092989,Resort,Lifestyle/Boutique
190109003,Resort,Wellness/Eco
298215703,Resort,Wellness/Eco
15728704,Urban,Lifestyle/Boutique
57839104,Resort,Extended Stay
55840906,Resort,Extended Stay
99306705,Small Metro/Town,Wellness/Eco
16833103,Small Metro/Town,Wellness/Eco
30877004,Resort,Wellness/Eco
73391003,Resort,Wellness/Eco
35424706,Resort,Wellness/Eco
97289305,Small Metro/Town,Lifestyle/Boutique
227433803,Airport,Wellness/Eco
85003906,Resort,Wellness/Eco
44211605,Small Metro/Town,Wellness/Eco
182619203,Resort,Wellness/Eco
53249705,Resort,Wellness/Eco
55470206,Resort,Wellness/Eco
12925905,Small Metro/Town,Standard
46800604,Resort,Standard
178835903,Small Metro/Town,Wellness/Eco
78006806,Resort,Wellness/Eco
95149804,Resort,Wellness/Eco
42089803,Small Metro/Town,Wellness/Eco
301975703,Small Metro/Town,Standard
42881704,Small Metro/Town,Wellness/Eco
20958303,Small Metro/Town,Standard
92121706,Small Metro/Town,Wellness/Eco
135156103,Resort,Wellness/Eco
59496604,Resort,Wellness/Eco
50053104,Small Metro/Town,Standard
50312304,Small Metro/Town,Wellness/Eco
72129804,Small Metro/Town,Wellness/Eco
105900806,Resort,Wellness/Eco
50305604,Resort,Wellness/Eco
34239706,Small Metro/Town,Extended Stay
195032104,Resort,Standard
82270105,Resort,Wellness/Eco
25814606,Urban,Lifestyle/Boutique
122744003,Resort,Wellness/Eco
42990304,Small Metro/Town,Wellness/Eco
600296165,Urban,Extended Stay
75830405,Resort,Standard
54345904,Small Metro/Town,Wellness/Eco
49552803,Resort,Wellness/Eco
9700503,Urban,Lifestyle/Boutique
42788404,Small Metro/Town,Wellness/Eco
99653105,Small Metro/Town,Wellness/Eco
56550404,Small Metro/Town,Wellness/Eco
399545704,Urban,Standard
222781303,Small Metro/Town,Wellness/Eco
15118204,Urban,Extended Stay
234880704,Small Metro/Town,Wellness/Eco
42061204,Resort,Wellness/Eco
96054706,Resort,Wellness/Eco
99458705,Resort,Wellness/Eco
192591204,Urban,Lifestyle/Boutique
251272503,Resort,Wellness/Eco
49377504,Urban,Lifestyle/Boutique
159620404,Resort,Wellness/Eco
205747703,Resort,Wellness/Eco
95201704,Resort,Wellness/Eco
96014103,Resort,Wellness/Eco
98183504,Resort,Standard
267214504,Resort,Wellness/Eco
267470404,Small Metro/Town,Standard
46708104,Small Metro/Town,Standard
11722603,Resort,Standard
219297204,Resort,Standard
58287606,Small Metro/Town,Wellness/Eco
46692204,Small Metro/Town,Standard
11767403,Interstate,Standard
13297203,Resort,Wellness/Eco
272810703,Small Metro/Town,Standard
31699504,Small Metro/Town,Standard
190957404,Small Metro/Town,Wellness/Eco
394978004,Small Metro/Town,Wellness/Eco
249674504,Resort,Standard
30965305,Small Metro/Town,Wellness/Eco
203283703,Small Metro/Town,Wellness/Eco
49395103,Suburban,Standard
75836304,Small Metro/Town,Wellness/Eco
84090904,Small Metro/Town,Standard
51631505,Resort,Wellness/Eco
26467803,Resort,Wellness/Eco
129129404,Urban,Standard
266918603,Resort,Wellness/Eco
203111104,Resort,Wellness/Eco
104735805,Suburban,Standard
82886006,Resort,Wellness/Eco
301395303,Resort,Wellness/Eco
64257804,Resort,Wellness/Eco
177066903,Urban,Standard
287369103,Resort,Wellness/Eco
51896206,Small Metro/Town,Wellness/Eco
181240204,Small Metro/Town,Wellness/Eco
116459505,Small Metro/Town,Wellness/Eco
67119604,Small Metro/Town,Wellness/Eco
30334003,Small Metro/Town,Wellness/Eco
11728403,Small Metro/Town,Wellness/Eco
65818304,Small Metro/Town,Wellness/Eco
11767705,Urban,Extended Stay
74641703,Resort,Standard
245487404,Resort,Wellness/Eco
279100403,Small Metro/Town,Standard
40199606,Resort,Wellness/Eco
74635906,Resort,Wellness/Eco
127655104,Resort,Lifestyle/Boutique
224965204,Resort,Wellness/Eco
122100905,Resort,Wellness/Eco
90729804,Resort,Wellness/Eco
91024103,Resort,Wellness/Eco
50061704,Small Metro/Town,Wellness/Eco
344994404,Resort,Wellness/Eco
34569906,Resort,Standard
61047204,Small Metro/Town,Standard
33703304,Urban,Lifestyle/Boutique
46785704,Small Metro/Town,Standard
378039203,Small Metro/Town,Wellness/Eco
75432004,Resort,Wellness/Eco
32073305,Resort,Wellness/Eco
60914105,Urban,Extended Stay
100821006,Urban,Standard
47896305,Resort,Standard
44156903,Small Metro/Town,Standard
26143003,Resort,Lifestyle/Boutique
86840705,Airport,Standard
207229704,Resort,Wellness/Eco
173064303,Resort,Standard
178744503,Resort,Wellness/Eco
53751606,Resort,Standard
220239404,Resort,Wellness/Eco
11255005,Resort,Standard
88386105,Small Metro/Town,Wellness/Eco
50041604,Resort,Wellness/Eco
93009604,Small Metro/Town,Wellness/Eco
192136603,Urban,Lifestyle/Boutique
94164103,Resort,Wellness/Eco
300875603,Resort,Wellness/Eco
46754004,Resort,Wellness/Eco
86129406,Airport,Standard
370025703,Resort,Standard
172545303,Urban,Lifestyle/Boutique
358066703,Resort,Wellness/Eco
39419403,Small Metro/Town,Wellness/Eco
121884903,Suburban,Wellness/Eco
144129704,Small Metro/Town,Wellness/Eco
168883403,Resort,Wellness/Eco
13919505,Resort,Standard
61804004,Resort,Wellness/Eco
96757003,Urban,Lifestyle/Boutique
60238405,Resort,Standard
2873405,Resort,Standard
29638004,Urban,Lifestyle/Boutique
68107304,Small Metro/Town,Standard
144607004,Urban,Standard
119285703,Urban,Wellness/Eco
106397405,Small Metro/Town,Standard
21309504,Small Metro/Town,Standard
17378703,Small Metro/Town,Standard
99923003,Small Metro/Town,Standard
212313404,Small Metro/Town,Standard
91593505,Small Metro/Town,Standard
77053106,Resort,Wellness/Eco
60917505,Resort,Extended Stay
98559405,Resort,Wellness/Eco
222769804,Resort,Wellness/Eco
64234305,Urban,Lifestyle/Boutique
234718704,Resort,Wellness/Eco
304359403,Resort,Wellness/Eco
12074905,Urban,Extended Stay
47377803,Resort,Wellness/Eco
93760803,Airport,Standard
170158404,Resort,Lifestyle/Boutique
424694404,Urban,Standard
35871806,Small Metro/Town,Wellness/Eco
175196703,Resort,Wellness/Eco
257030504,Resort,Wellness/Eco
184468804,Resort,Wellness/Eco
259795203,Small Metro/Town,Standard
47140704,Small Metro/Town,Wellness/Eco
80348603,Small Metro/Town,Wellness/Eco
73987903,Small Metro/Town,Wellness/Eco
46309705,Urban,Extended Stay
33870106,Small Metro/Town,Wellness/Eco
60770205,Resort,Wellness/Eco
33269505,Small Metro/Town,Wellness/Eco
64221905,Small Metro/Town,Lifestyle/Boutique
185389204,Resort,Wellness/Eco
65246703,Resort,Wellness/Eco
18862704,Urban,Lifestyle/Boutique
50042104,Resort,Standard
136191403,Resort,Standard
36712003,Small Metro/Town,Wellness/Eco
211338104,Small Metro/Town,Wellness/Eco
3657405,Urban,Lifestyle/Boutique
35287606,Resort,Standard
157187404,Small Metro/Town,Wellness/Eco
134353603,Small Metro/Town,Wellness/Eco
15256304,Urban,Extended Stay
32811306,Resort,Standard
67778906,Small Metro/Town,Wellness/Eco
73952404,Small Metro/Town,Wellness/Eco
111287504,Resort,Wellness/Eco
59155506,Resort,Wellness/Eco
75083006,Small Metro/Town,Lifestyle/Boutique
86167705,Resort,Standard
43431403,Small Metro/Town,Wellness/Eco
60840104,Resort,Wellness/Eco
88841503,Resort,Wellness/Eco
48125606,Small Metro/Town,Wellness/Eco
40582306,Resort,Wellness/Eco
234740604,Resort,Wellness/Eco
357720704,Small Metro/Town,Lifestyle/Boutique
40300506,Resort,Standard
195251403,Resort,Standard
46570404,Resort,Wellness/Eco
86281004,Resort,Standard
156260803,Resort,Wellness/Eco
377447703,Resort,Standard
7085703,Urban,Extended Stay
431260704,Resort,Wellness/Eco
38988506,Small Metro/Town,Lifestyle/Boutique
86787706,Urban,Standard
257636504,Resort,Standard
294103603,Resort,Wellness/Eco
190565904,Resort,Wellness/Eco
259580303,Resort,Wellness/Eco
311518503,Resort,Wellness/Eco
365402804,Resort,Wellness/Eco
50169004,Small Metro/Town,Wellness/Eco
10311505,Resort,Standard
57635304,Small Metro/Town,Lifestyle/Boutique
47019305,Urban,Lifestyle/Boutique
98048605,Small Metro/Town,Standard
83426304,Small Metro/Town,Standard
308202103,Small Metro/Town,Wellness/Eco
85358905,Resort,Wellness/Eco
239053404,Small Metro/Town,Standard
181488703,Urban,Standard
5969103,Urban,Extended Stay
27382104,Resort,Wellness/Eco
312748003,Small Metro/Town,Wellness/Eco
204642504,Resort,Wellness/Eco
55891005,Resort,Wellness/Eco
167198104,Resort,Wellness/Eco
309935903,Resort,Wellness/Eco
266932803,Resort,Standard
318105503,Airport,Standard
225424503,Urban,Lifestyle/Boutique
90071804,Small Metro/Town,Wellness/Eco
239216204,Resort,Wellness/Eco
49313306,Urban,Standard
137948603,Small Metro/Town,Standard
87583505,Small Metro/Town,Wellness/Eco
126994504,Small Metro/Town,Standard
300245403,Small Metro/Town,Standard
65111205,Suburban,Wellness/Eco
47646304,Small Metro/Town,Wellness/Eco
291546403,Small Metro/Town,Wellness/Eco
47156304,Small Metro/Town,Standard
27730106,Resort,Standard
45853906,Small Metro/Town,Standard
27730006,Resort,Standard
82145306,Resort,Wellness/Eco
387343504,Small Metro/Town,Standard
84849905,Resort,Wellness/Eco
50240004,Small Metro/Town,Standard
